"PhylumDivision"	"ID"	"Kingdom"	"color"
"Alphaproteobacteria"	"Prok_ASV_2144"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2921"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1690"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_23"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4869"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1387"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_548"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_9959"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1828"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1578"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1074"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2157"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3232"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3952"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1400"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4378"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5345"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1241"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3819"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3160"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2172"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1248"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5571"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1540"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_725"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_11056"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2185"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_928"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_40"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4437"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_161"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2196"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1921"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1614"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1616"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_848"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_502"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1999"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_244"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1270"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1818"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2214"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_567"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_245"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1822"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1116"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_6455"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1118"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4058"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1642"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1643"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_866"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4645"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_867"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4559"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_165"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2760"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_159"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_240"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3722"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_874"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1658"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1088"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2259"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_58"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1141"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_329"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_4616"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1861"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_376"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1145"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5860"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3096"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_768"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5216"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2283"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_150"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_168"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_417"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_7711"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1505"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1162"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_526"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_132"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_2083"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1887"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_1695"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_5930"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_3131"	"Bacteria"	"#182A7B"
"Alphaproteobacteria"	"Prok_ASV_7363"	"Bacteria"	"#182A7B"
