Source	Target
MalaVP_DNA_D2221_780m	MalaVP_DNA_D678_800m
MalaVP_DNA_D2225_280m	MalaVP_DNA_D2416_800m
MalaVP_DNA_D2225_280m	MalaVP_DNA_D275_1700m
MalaVP_DNA_D2410_3100m	MalaVP_DNA_D524_550m
MalaVP_DNA_D2412_2400m	MalaVP_DNA_D864_4000m
MalaVP_DNA_D2414_2000m	MalaVP_DNA_D518_3300m
MalaVP_DNA_D2420_106m	MalaVP_DNA_D2803_430m
MalaVP_DNA_D2422_3m	MalaVP_DNA_D526_130m
MalaVP_DNA_D2422_3m	MalaVP_DNA_D874_86m
MalaVP_DNA_D273_4000m	MalaVP_DNA_D277_800m
MalaVP_DNA_D277_800m	MalaVP_DNA_D279_450m
MalaVP_DNA_D2795_4000m	MalaVP_DNA_D2797_2500m
MalaVP_DNA_D514_3m	MalaVP_DNA_D526_130m
MalaVP_DNA_D514_3m	MalaVP_DNA_D66_3m
MalaVP_DNA_D518_3300m	MalaVP_DNA_D520_2400m
MalaVP_DNA_D676_1290m	MalaVP_DNA_D680_540m
MalaVP_DNA_D76_700m	MalaVP_DNA_D78_430m
MalaVP_DNA_D866_3000m	MalaVP_DNA_D870_800m
